id_atestado,cliente,contrato,obra,local,ano,data_inicio,data_fim,descricao,observacoes
2c0fe2b8-2d3	Petrobrás S/A - RPBC	210.2.018.91-3	Execução de serviços de revestimento em concreto armado da Lagoa de Mistura Completo nº 2 (LMC-2) do sistema de lagoas de aeração, na área sul da Refinaria Presidente Bernardes (RPBC).	Refinaria Presidente Bernardes, Cubatão/SP.			17/05/91 a 31/08/91	Execução de serviços de revestimento em concreto armado da Lagoa de Mistura Completo nº 2 (LMC-2) do sistema de lagoas de aeração, na área sul da Refinaria Presidente Bernardes (RPBC).	Tipo: C | Responsável Técnico: Eng.º Felipe Alfredo Perroni Filho
4b5b4d83-fbe	Petrobrás S/A - Refinaria Presidente Bernardes (RPBC)	Nº 210-2-032-90-1	Reforma e Ampliação das Instalações do SEIEQ (Novo Prédio de 262 m² e Prédio Reformado de 400 m²) na Refinaria Presidente Bernardes (RPBC).				05/07/90 a 01/01/91	Reforma e Ampliação das Instalações do SEIEQ (Novo Prédio de 262 m² e Prédio Reformado de 400 m²) na Refinaria Presidente Bernardes (RPBC).	Tipo: C | Responsável Técnico: Eng.º Felipe Alfredo Perroni Filho
6b96af57-4f5	Petrobrás S/A - DTCS (Dutos e Terminais do Centro-Oeste e São Paulo)	Contrato nº 315.2.059.92.9 (Ref. Carta de 27/12/93)	Execução dos serviços de manutenção complementar industrial da área do terminal de Guarulhos do DTCS.	Terminal de Guarulhos - SP			14/06/93 a 13/06/94	Execução dos serviços de manutenção complementar industrial da área do terminal de Guarulhos do DTCS.	Tipo: C | Responsável Técnico: Eng.º Felipe Alfredo Perroni Filho
0ae3a8e1-71e	Petrobrás S/A - Refinaria Presidente Bernardes (RPBC).	Nº 210-5-216-92-3.	Reforma nas dependências do SESUP e SESUP/Conferência e Recebimento na Refinaria Presidente Bernardes (RPBC).				22/10/92 a 15/12/92	Reforma nas dependências do SESUP e SESUP/Conferência e Recebimento na Refinaria Presidente Bernardes (RPBC).	Tipo: C | Responsável Técnico: Engs. Felipe Perroni / Carlos Carlan
2d07950d-ee9	Petrobrás S/A - Refinaria Presidente Bernardes (RPBC)	Nº 210-2-018-92-1.	Execução de serviço de reforma e ampliação das instalações do SESEMA/Segurança da Refinaria Presidente Bernardes (RPBC) em Cubatão/SP.	CUBATÃO - SP			01/02/92 a 10/10/92	Execução de serviço de reforma e ampliação das instalações do SESEMA/Segurança da Refinaria Presidente Bernardes (RPBC) em Cubatão/SP.	Tipo: C | Responsável Técnico: Engs. Felipe Perroni / Carlos Carlan
3b97a49b-88b	Prefeitura Municipal de Cubatão - Departamento de Administração	Contrato ADM 088/89 e Aditamento nº ADM-040/90	Execução de obras de pavimentação na Av. Tiradentes e Conjunto Residencial Afonso Schmidt, no Município de Cubatão	Cubatao - SP			21/11/1989 a 20/05/1990	Execução de obras de pavimentação na Av. Tiradentes e Conjunto Residencial Afonso Schmidt, no Município de Cubatão	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA 19.948/D) e Engº Carlos Roberto Carlan (CREA 37.686/D)
6101f7ac-380	Prefeitura Municipal de Cubatão - Divisão de Comunicação Administrativa.	Contrato nº ADM 094/88 (Processo nº 7644/87)	Implantação de Praça de Esportes no Parque Fernando Jorge, incluindo campo de futebol gramado, cercado por alambrado, 3 vestiários, arquibancada e muro perimetral.	CUBATÃO - SP			22/06/1988 a 22/06/1989	Implantação de Praça de Esportes no Parque Fernando Jorge, incluindo campo de futebol gramado, cercado por alambrado, 3 vestiários, arquibancada e muro perimetral.	Tipo: C | Responsável Técnico: Eng.º Felipe Alfredo Perroni Filho (CREA 19948/D) e Eng.º Carlos Roberto Carlan (CREA 37686/D)
ffccfba9-5eb	Prefeitura Municipal de Cubatão	Contrato nº ADM 099/89 e aditamento nºs ADM 31/90 e 057/90.	Execução de obras de transformação do alojamento da Vila São José em Escola Municipal de Educação Infantil.	Vila São José - Cubatão			21/11/1989 a 16/03/1990	Execução de obras de transformação do alojamento da Vila São José em Escola Municipal de Educação Infantil.	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni (CREA nº 060019948-1).
496dcdd8-39e	Prefeitura Municipal de Cubatão.		Adaptação do prédio do Centro de Saúde para Pronto Socorro Infantil	Avenida Martins Fontes nº 132 - Vila Nova - Cubatão.			22/10/1990 a 17/05/1991	Adaptação do prédio do Centro de Saúde para Pronto Socorro Infantil	Tipo: C | Responsável Técnico: None
a22c3a35-670	Prefeitura Municipal de Cubatão.	Nº 137/90 (Aditamentos 166/90 e 020/91)	Reforma e Ampliação na Cidade da Criança - Parque Anilinas.	Parque Anilinas - Cubatão/SP			17/09/1990 a 14/02/1991	Reforma e Ampliação na Cidade da Criança - Parque Anilinas.	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 060019948-1)
