data_hora,usuario,perfil,acao
2026-04-29 14:22:01,Fabio,admin,login
2026-04-29 14:30:10,Fabio,admin,logout
2026-04-29 18:24:04,Fabio,admin,login
2026-04-29 18:24:12,Fabio,admin,logout
2026-04-29 18:24:15,Fabio,admin,logout
2026-04-29 18:24:17,Fabio,admin,logout
2026-04-29 18:24:20,Fabio,admin,logout
2026-04-29 18:24:22,Fabio,admin,logout
2026-04-29 18:32:40,Fabio,admin,login
2026-04-29 18:32:50,Fabio,admin,logout
2026-04-29 18:32:52,Fabio,admin,logout
2026-04-29 18:32:54,Fabio,admin,logout
2026-04-29 18:42:11,Fabio,admin,login
2026-04-29 18:42:15,Fabio,admin,logout
2026-04-29 18:42:18,Fabio,admin,logout
2026-04-29 18:42:22,Fabio,admin,logout
2026-04-29 18:42:45,Fabio,admin,logout
2026-04-29 18:43:08,Fabio,admin,login
2026-04-29 18:43:50,Fabio,admin,logout
2026-04-29 19:10:09,Fabio,admin,login
2026-04-29 19:10:32,Fabio,admin,logout
2026-04-29 19:24:52,Ana,admin,login
