mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_5a5042fbb1,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 1 - 91925.0 - Cabo De Cobre Flexível Isolado, 1,5 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",11111.0,5.01,55666.11
mc_3b11fa0078,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 2 - 91924.0 - Cabo De Cobre Flexível Isolado, 1,5 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,4.21,0.0
mc_0b99508986,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 3 - 91933.0 - Cabo De Cobre Flexível Isolado, 10 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,22.03,0.0
mc_465ac9d106,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 4 - 91932.0 - Cabo De Cobre Flexível Isolado, 10 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,22.79,0.0
mc_9684c513d2,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 5 - 91935.0 - Cabo De Cobre Flexível Isolado, 16 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,34.47,0.0
mc_24821a1dd5,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 6 - 91934.0 - Cabo De Cobre Flexível Isolado, 16 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,33.01,0.0
mc_90650137ae,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 7 - 91927.0 - Cabo De Cobre Flexível Isolado, 2,5 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,6.72,0.0
mc_5024d91085,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 8 - 91926.0 - Cabo De Cobre Flexível Isolado, 2,5 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,6.05,0.0
mc_3074a1f703,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 9 - 91929.0 - Cabo De Cobre Flexível Isolado, 4 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,9.86,0.0
mc_2c117a8bc8,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 10 - 91928.0 - Cabo De Cobre Flexível Isolado, 4 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",0.0,9.25,0.0
