codigo,descricao,unidade
DR-31,Locação e Montagem de Tubulação de Recalque (Linha de Terra) em PEAD diâmetro 6" incluindo acessórios de fixação - POR MÊS,m
DR-35,Locação e Montagem de Tubulação de Recalque (Linha Flutuante) em PEAD diâmetro 6" incluindo Flutuantes e acessórios de fixação - POR MÊS,m
DR-54,LOCAÇÃO E OPERAÇÃO DE EQUIPAMENTOS DE PREPARO DOSAGEM E INJEÇÃO DE POLÍMEROS INCLUINDO TANQUES MISTURADORES BOMBAS INJETORAS DE ATÉ 10M³/H PAINÉIS E DEMAIS ACESSÓRIOS,hora
DR-55,LOCAÇÃO MONTAGEM E OPERAÇÃO DE BARRILETE DE DISTRIBUIÇÃO INCLUINDO MISTURADOR ESTÁTICO MANGUEIRAS E VÁLVULAS DE DISTRIBUIÇÃO,hora
DR-39,DRAGAGEM COM EQUIPAMENTO FLUTUANTE DE SUCÇÃO E RECALQUE COM BOMBA DE 6" (distância de recalque de até 1km),m³
DR-61,FORNECIMENTO DE POLÍMEROS (FLOCULANTES),kg
DR-58,FORNECIMENTO INSTALAÇÃO e OPERAÇÃO DE ENCHIMENTO de BAG GEOTEXTIL TECIDO/NÃO TECIDO DE ALTA RESISTENCIA (DIMENSÕES VARIADAS),m³
LILA-003,Remoção Mecânica de Plantas Herbáceas Aquáticas de Lagos com Barco Adaptado,m³
ALO-005,LOCAÇÃO DE SANITÁRIO QUÍMICO COM DUAS LIMPEZAS SEMANAIS,mês
MOB-001,MOBILIZAÇÃO INDIVIDUAL DE ESCAVADEIRA HIDRÁULICA / MOTONIVELADORA / TRATOR DE ESTEIRA / FRESADORA (22 T a 30 T),Viagem
GAP-104,LASTRO DE PEDRA DE MÃO RACHÃO OU PEDRA MARROADA,m³
102327,ESCAVAÇÃO MECANIZADA DE VALA COM PROF. ATÉ 1virgula5 M (MÉDIA MONTANTE E JUSANTE/UMA COMPOSIÇÃO POR TRECHO) RETROESCAV. (0virgula26 M3 ) LARG. DE 0virgula8 M A 1virgula5 M EM SOLO DE 2A CATEGORIA EM LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_02/2021,m³
100975,CARGA MANOBRA E DESCARGA DE SOLOS E MATERIAIS GRANULARES EM CAMINHÃO BASCULANTE 14 M³,m³
95876,TRANSPORTE COM CAMINHÃO BASCULANTE DE 14 M³ EM VIA URBANA PAVIMENTADA DMT ATÉ 30 KM (UNIDADE: M3XKM). AF_07/2020,m³ x km
MOB-002,DESMOBILIZAÇÃO INDIVIDUAL DE ESCAVADEIRA HIDRÁULICA / MOTONIVELADORA / TRATOR DE ESTEIRA / FRESADORA (22 T a 30 T),Viagem
