fonte,codigo,item,descricao,unidade,quantidade_base,custo_unitario_sem_bdi,bdi,preco_unitario_com_bdi,preco_total,ativo,pagina_pdf
C SINAPI,91925,1,"Cabo De Cobre Flexível Isolado, 1,5 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,3.95,26.93,5.01,5.01,Sim,1
C SINAPI,91924,2,"Cabo De Cobre Flexível Isolado, 1,5 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,3.32,26.93,4.21,4.21,Sim,1
C SINAPI,91933,3,"Cabo De Cobre Flexível Isolado, 10 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,17.36,26.93,22.03,22.03,Sim,1
C SINAPI,91932,4,"Cabo De Cobre Flexível Isolado, 10 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,17.96,26.93,22.79,22.79,Sim,1
C SINAPI,91935,5,"Cabo De Cobre Flexível Isolado, 16 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,27.16,26.93,34.47,34.47,Sim,1
C SINAPI,91934,6,"Cabo De Cobre Flexível Isolado, 16 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,26.01,26.93,33.01,33.01,Sim,1
C SINAPI,91927,7,"Cabo De Cobre Flexível Isolado, 2,5 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,5.3,26.93,6.72,6.72,Sim,1
C SINAPI,91926,8,"Cabo De Cobre Flexível Isolado, 2,5 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,4.77,26.93,6.05,6.05,Sim,1
C SINAPI,91929,9,"Cabo De Cobre Flexível Isolado, 4 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,7.77,26.93,9.86,9.86,Sim,1
C SINAPI,91928,10,"Cabo De Cobre Flexível Isolado, 4 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,7.29,26.93,9.25,9.25,Sim,1
C SINAPI,91931,11,"Cabo De Cobre Flexível Isolado, 6 Mm², Anti-Chama 0,6/1,0 Kv, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,10.9,26.93,13.83,13.83,Sim,1
