permissao_id,modulo,recurso,acao,nome,descricao,sensibilidade,escopo_obra,estado_protecao,evidencia,ativo,criado_em,criado_por,atualizado_em,atualizado_por
00000000-0000-4000-8000-000000000001,administracao,permissao_usuario,visualizar,Consultar permissões atuais,Exibe concessões individuais vigentes,crítica,nao,completa,app.py:pode_acessar_rota + pages/administracao.py:render,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000002,administracao,permissao_usuario,criar,Criar permissão individual,Inclui concessão no modelo atual,crítica,sim,completa,pages/administracao.py:_salvar_alteracao,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000003,administracao,permissao_usuario,editar,Desativar permissão individual,Altera o estado de concessão existente,crítica,sim,completa,pages/administracao.py:_salvar_alteracao,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000004,administracao,permissao_usuario,excluir,Excluir permissão individual,Remove linha do modelo atual,crítica,sim,completa,pages/administracao.py:_salvar_alteracao,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000005,administracao,usuario_operacional,visualizar,Consultar usuários operacionais,Exibe a base interna sem credenciais,crítica,nao,completa,pages/administracao.py:_render_usuarios_operacionais,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000006,administracao,usuario_operacional,criar,Criar usuário operacional,Cria identidade interna inativa,crítica,nao,completa,services/usuarios_operacionais.py:criar_usuario,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000007,administracao,usuario_operacional,editar,Editar usuário operacional,Altera campos seguros e estado,crítica,nao,completa,services/usuarios_operacionais.py:editar_usuario,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000008,administracao,role,visualizar,Consultar Roles,Exibe catálogo institucional de Roles,crítica,nao,completa,pages/administracao.py:_render_roles,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000009,administracao,role,criar,Criar Role,Cria Role reutilizável inativa,crítica,nao,completa,services/roles.py:criar_role,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000010,administracao,role,editar,Editar Role,Altera descrição estado e versão,crítica,nao,completa,services/roles.py:editar_role,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
